Type,Price,Location,Baths,Area,Beds,Lat,Lng
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3,31.3694884,74.1768412
Upper Portion,PKR47 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3,31.3694884,74.1768412
House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5,31.3694884,74.1768412
House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3,31.3694884,74.1768412
House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3,31.3694884,74.1768412
Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1,31.3694884,74.1768412
Upper Portion,PKR40 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3,31.3694884,74.1768412
Flat,PKR27 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1,31.3694884,74.1768412
Flat,PKR42 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1,31.3694884,74.1768412
Upper Portion,PKR25 Thousand,"Bahria Town, Lahore, Punjab",1,7 Marla,1,31.3694884,74.1768412
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3,31.3694884,74.1768412
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2,31.3694884,74.1768412
House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR26 Thousand,"Bahria Town, Lahore, Punjab",2,8 Marla,2,31.3694884,74.1768412
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Lower Portion,PKR30 Thousand,"Garhi Shahu, Lahore, Punjab",3,5 Marla,3,31.5616533,74.3369345
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",5,10 Marla,3,31.3694884,74.1768412
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3,31.4676379,74.3807788
Upper Portion,PKR28 Thousand,"Park View City, Lahore, Punjab",-,5 Marla,-,31.4527726,74.2025244
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4,31.4676379,74.3807788
House,PKR1.7 Lakh,"Model Town, Lahore, Punjab",4,18 Marla,4,31.4804642,74.3239342
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4,31.4676379,74.3807788
House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
Lower Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2,31.4676379,74.3807788
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR35 Thousand,"Eden Avenue Extension, Lahore, Punjab",2,8 Marla,2,31.4990163,74.4192199
House,PKR65 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3,31.3837953,74.2756066
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5,31.4676379,74.3807788
House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3,31.3694884,74.1768412
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",8,1.5 Kanal,7,31.4676379,74.3807788
House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR60 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3,31.3837953,74.2756066
House,PKR1.5 Lakh,"Sui Gas Housing Society, Lahore, Punjab",5,1 Kanal,5,31.3388255,74.2051202
House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3,31.4676379,74.3807788
House,PKR4.5 Lakh,"Cantt, Lahore, Punjab",6,1.6 Kanal,5,31.5196113,74.388925
House,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4,31.4676379,74.3807788
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3,31.4676379,74.3807788
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",8,1.5 Kanal,7,31.4676379,74.3807788
Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR2.05 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,4,31.5164883,74.3499496
House,PKR2.1 Lakh,"Gulberg, Lahore, Punjab",5,1 Kanal,5,31.5164883,74.3499496
House,PKR2.1 Lakh,"Cantt, Lahore, Punjab",5,1 Kanal,5,31.5196113,74.388925
House,PKR1.2 Lakh,"Cantt, Lahore, Punjab",5,10 Marla,4,31.5196113,74.388925
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1.2 Kanal,2,31.4676379,74.3807788
House,PKR80 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,4,31.4269467,74.24067560000002
House,PKR83 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,4,31.4269467,74.24067560000002
House,PKR60 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3,31.4269467,74.24067560000002
House,PKR75 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,4,31.4269467,74.24067560000002
House,PKR78 Thousand,"Punjab University Employees Society, Lahore, Punjab",4,7 Marla,4,31.4269467,74.24067560000002
House,PKR95 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5,31.4269467,74.24067560000002
House,PKR90 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5,31.4269467,74.24067560000002
House,PKR65 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3,31.4269467,74.24067560000002
House,PKR55 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3,31.4269467,74.24067560000002
Flat,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",2,1 Kanal,2,31.4676379,74.3807788
House,PKR3.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR65 Thousand,"Wapda Town, Lahore, Punjab",3,5 Marla,3,31.4311985,74.26435819999999
House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Flat,PKR1.95 Lakh,"Cantt, Lahore, Punjab",3,12.4 Marla,3,31.5196113,74.388925
House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",4,5 Marla,3,31.4676379,74.3807788
House,PKR3.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Flat,PKR1.45 Lakh,"DHA Defence, Lahore, Punjab",1,3.3 Marla,1,31.4676379,74.3807788
Lower Portion,PKR95 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2,31.4676379,74.3807788
Flat,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",1,3.8 Marla,1,31.4676379,74.3807788
House,PKR3.98 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
Flat,PKR1.75 Lakh,"DHA Defence, Lahore, Punjab",1,5.4 Marla,1,31.4676379,74.3807788
House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4,31.4676379,74.3807788
House,PKR85 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5,31.4269467,74.24067560000002
House,PKR3.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR63 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3,31.4269467,74.24067560000002
House,PKR70 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,5 Marla,3,31.4269467,74.24067560000002
House,PKR6.5 Lakh,"Gulberg, Lahore, Punjab",4,1.5 Kanal,4,31.5164883,74.3499496
House,PKR93 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5,31.4269467,74.24067560000002
House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5,31.4676379,74.3807788
House,PKR87 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5,31.4269467,74.24067560000002
House,PKR90 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3,31.4942473,74.3836719
House,PKR1.6 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4,31.4942473,74.3836719
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3,31.4942473,74.3836719
House,PKR95 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3,31.4942473,74.3836719
House,PKR80 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5,31.4269467,74.24067560000002
Flat,PKR2.95 Lakh,"Airport Road, Lahore, Punjab",3,8 Marla,3,31.5202806,74.4256343
Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1,31.3694884,74.1768412
